DBN,SAT Critical Reading Avg. Score,SAT Math Avg. Score,SAT Writing Avg. Score
M292,355,404,363
M448,383,423,366
M450,377,402,370
M509,390,433,384
M539,522,574,525
M696,624,604,628
M047,395,400,387
M283,406,379,408
M299,374,384,374
M307,384,390,370
M415,371,368,370
M470,370,390,358
M479,577,575,592
M485,566,564,577
M492,396,398,402
M494,433,433,411
M541,473,506,467
M860,356,379,361
M288,409,393,392
M294,394,384,378
M296,374,375,362
M298,423,438,432
M300,404,449,416
M303,353,358,340
M305,375,388,385
M308,403,392,405
M316,373,370,384
M374,391,391,394
M376,473,483,479
M400,465,493,461
M407,492,465,467
M408,509,490,523
M411,496,563,518
M412,537,590,550
M413,517,533,515
M414,468,492,459
M416,572,594,592
M418,528,553,533
M419,390,399,381
M420,429,449,428
M425,416,426,391
M429,356,357,349
M439,441,473,458
M440,378,365,368
M449,395,416,388
M459,376,460,391
M460,373,387,360
M475,679,735,682
M489,443,489,442
M500,370,349,351
M519,469,472,475
M520,407,440,393
M529,414,425,400
M531,429,404,420
M542,336,378,344
M543,391,395,382
M545,412,581,431
M551,405,423,384
M580,408,384,403
M600,423,423,411
M615,399,418,390
M620,370,379,359
M625,395,382,376
M630,444,441,430
M655,409,424,403
M409,354,357,373
M435,461,514,455
M495,373,379,376
M555,405,421,395
M610,432,446,448
M635,369,369,357
M680,358,351,345
M304,413,399,398
M367,354,366,342
M369,360,353,364
M469,354,360,385
M499,458,474,442
M670,396,402,404
M685,369,361,355
M692,605,654,588
M293,408,446,416
M346,362,376,367
M348,380,395,399
M462,365,384,378
M463,369,380,349
M467,363,378,361
M468,400,422,402
M540,430,456,423
M552,339,349,326
X221,364,378,348
X334,310,324,311
X427,361,359,357
X473,351,375,371
X495,403,394,404
X500,420,426,411
X520,399,396,391
X527,362,378,363
X547,367,356,361
X548,387,411,383
X551,413,381,407
X600,394,400,364
X655,398,416,370
X670,363,368,364
X282,407,386,378
X293,384,385,389
X295,416,390,394
X305,337,361,340
X312,387,402,375
X332,363,371,350
X405,412,436,393
X452,369,371,365
X519,373,370,356
X530,373,381,377
X540,366,400,368
X650,377,359,376
X227,324,376,349
X231,373,387,374
X239,372,355,357
X241,411,464,415
X250,393,394,382
X252,369,367,356
X260,459,480,457
X263,356,363,356
X276,361,353,367
X297,386,386,376
X329,382,365,391
X365,315,339,297
X403,314,312,339
X404,363,360,351
X412,356,376,351
X413,400,419,402
X414,379,364,379
X505,404,418,402
X517,368,384,369
X525,384,394,388
X543,353,315,371
X141,438,455,440
X213,373,412,365
X237,382,393,382
X243,382,406,370
X268,304,356,302
X284,402,395,385
X342,300,333,301
X368,390,408,383
X374,392,401,387
X397,343,356,330
X433,370,371,365
X434,404,418,400
X437,355,350,372
X438,367,385,367
X439,366,364,352
X440,419,426,410
X442,423,420,427
X445,632,688,649
X475,351,362,339
X477,414,435,414
X546,348,362,354
X549,372,379,364
X660,362,382,356
X696,636,648,636
X249,370,381,382
X253,400,357,390
X265,377,391,367
X270,386,394,361
X275,381,376,354
X288,444,471,433
X290,387,365,383
X299,387,391,391
X415,367,361,353
X418,419,433,416
X455,386,397,368
X513,332,381,335
X514,377,372,363
X541,372,382,375
X542,431,438,419
X544,383,378,365
X245,348,344,354
X248,347,367,341
X251,381,381,360
X262,361,353,360
X267,408,432,411
X271,366,378,358
X278,390,401,364
X388,321,351,298
X550,304,323,312
X682,342,346,341
X684,378,374,362
X690,375,387,376
X692,332,357,349
K265,352,349,373
K336,439,374,418
K350,360,364,356
K412,375,355,384
K419,399,417,395
K430,587,659,587
K439,305,364,312
K483,400,417,389
K499,384,364,368
K509,400,390,403
