DBN,Num of SAT Test Takers,NUMBER OF STUDENTS / SEATS FILLED.max,NUMBER OF SECTIONS.max,AVERAGE CLASS SIZE.max,SIZE OF SMALLEST CLASS.max,SIZE OF LARGEST CLASS.max,NUMBER OF STUDENTS / SEATS FILLED.min,NUMBER OF SECTIONS.min,AVERAGE CLASS SIZE.min,SIZE OF SMALLEST CLASS.min,SIZE OF LARGEST CLASS.min,NUMBER OF STUDENTS / SEATS FILLED.mean,NUMBER OF SECTIONS.mean,AVERAGE CLASS SIZE.mean,SIZE OF SMALLEST CLASS.mean,SIZE OF LARGEST CLASS.mean,SCHOOLWIDE PUPIL-TEACHER RATIO,DISTRICT,PEER INDEX*,2010-2011 OVERALL SCORE,2010-2011 ENVIRONMENT CATEGORY SCORE,2010-2011 PERFORMANCE CATEGORY SCORE,2010-2011 PROGRESS CATEGORY SCORE,2010-2011 ADDITIONAL CREDIT,COUNT PARTICIPANTS,COUNT FEMALE,PERCENT FEMALE,COUNT MALE,PERCENT MALE,COUNT GENDER UNKNOWN,PERCENT GENDER UNKNOWN,COUNT GENDER TOTAL,PERCENT GENDER TOTAL,COUNT PACIFIC ISLANDER,COUNT HISPANIC LATINO,PERCENT HISPANIC LATINO,COUNT AMERICAN INDIAN,PERCENT AMERICAN INDIAN,COUNT ASIAN NON HISPANIC,PERCENT ASIAN NON HISPANIC,COUNT WHITE NON HISPANIC,PERCENT WHITE NON HISPANIC,COUNT BLACK NON HISPANIC,PERCENT BLACK NON HISPANIC,COUNT OTHER ETHNICITY,PERCENT OTHER ETHNICITY,COUNT ETHNICITY UNKNOWN,PERCENT ETHNICITY UNKNOWN,COUNT ETHNICITY TOTAL,PERCENT ETHNICITY TOTAL,COUNT PERMANENT RESIDENT ALIEN,PERCENT PERMANENT RESIDENT ALIEN,COUNT US CITIZEN,PERCENT US CITIZEN,COUNT OTHER CITIZEN STATUS,PERCENT OTHER CITIZEN STATUS,COUNT CITIZEN STATUS UNKNOWN,PERCENT CITIZEN STATUS UNKNOWN,COUNT CITIZEN STATUS TOTAL,PERCENT CITIZEN STATUS TOTAL,COUNT RECEIVES PUBLIC ASSISTANCE,PERCENT RECEIVES PUBLIC ASSISTANCE,COUNT NRECEIVES PUBLIC ASSISTANCE,PERCENT NRECEIVES PUBLIC ASSISTANCE,COUNT PUBLIC ASSISTANCE UNKNOWN,PERCENT PUBLIC ASSISTANCE UNKNOWN,COUNT PUBLIC ASSISTANCE TOTAL,PERCENT PUBLIC ASSISTANCE TOTAL,YTD % Attendance (Avg),YTD Enrollment(Avg)
M292,29,186.0,9.0,32.0,32.0,35.0,6.0,1.0,6.0,6.0,6.0,51.40909090909091,2.3863636363636362,20.95,19.113636363636363,22.818181818181817,12.0,1.0,1.81,49.8,6.9,12.8,30.1,,11,4,0.36,7,0.64,0,0,11,100,0,1,0.09,0,0.0,4,0.36,6,0.55,0,0.0,0,0.0,0,0.0,11,100,0,0.0,11,1.0,0,0.0,0,0,11,100,0,0.0,11,1.0,0,0,11,100,91.18,12367
M448,91,303.0,14.0,30.0,30.0,33.0,18.0,1.0,16.6,10.0,18.0,103.92307692307692,4.423076923076923,23.800000000000004,20.115384615384617,28.0,12.6,1.0,2.03,57.6,6.9,13.9,35.8,1.0,11,4,0.36,7,0.64,0,0,11,100,0,1,0.09,0,0.0,4,0.36,6,0.55,0,0.0,0,0.0,0,0.0,11,100,0,0.0,11,1.0,0,0.0,0,0,11,100,0,0.0,11,1.0,0,0,11,100,91.18,12367
M450,70,130.0,7.0,26.0,26.0,28.0,5.0,1.0,5.0,5.0,5.0,53.095238095238095,2.9523809523809526,18.507142857142856,17.023809523809526,19.80952380952381,13.7,1.0,2.26,77.0,12.9,18.4,38.7,7.0,11,4,0.36,7,0.64,0,0,11,100,0,1,0.09,0,0.0,4,0.36,6,0.55,0,0.0,0,0.0,0,0.0,11,100,0,0.0,11,1.0,0,0.0,0,0,11,100,0,0.0,11,1.0,0,0,11,100,91.18,12367
M509,44,137.0,6.0,33.5,33.0,35.0,6.0,1.0,6.0,5.0,6.0,49.851851851851855,2.2962962962962963,19.37037037037037,17.37037037037037,21.48148148148148,12.2,1.0,1.78,54.0,6.7,15.7,30.6,1.0,11,4,0.36,7,0.64,0,0,11,100,0,1,0.09,0,0.0,4,0.36,6,0.55,0,0.0,0,0.0,0,0.0,11,100,0,0.0,11,1.0,0,0.0,0,0,11,100,0,0.0,11,1.0,0,0,11,100,91.18,12367
M539,159,294.0,11.0,33.5,33.0,34.0,25.0,1.0,12.5,11.0,13.0,124.875,5.3125,24.075,20.03125,28.0,16.4,1.0,3.48,71.9,7.7,21.8,42.4,,11,4,0.36,7,0.64,0,0,11,100,0,1,0.09,0,0.0,4,0.36,6,0.55,0,0.0,0,0.0,0,0.0,11,100,0,0.0,11,1.0,0,0.0,0,0,11,100,0,0.0,11,1.0,0,0,11,100,91.18,12367
M696,130,454.0,21.0,24.0,22.0,26.0,46.0,2.0,16.9,11.0,18.0,214.16666666666666,10.25,20.975,17.166666666666668,24.25,16.8,1.0,3.82,59.4,11.7,16.9,30.8,,11,4,0.36,7,0.64,0,0,11,100,0,1,0.09,0,0.0,4,0.36,6,0.55,0,0.0,0,0.0,0,0.0,11,100,0,0.0,11,1.0,0,0.0,0,0,11,100,0,0.0,11,1.0,0,0,11,100,91.18,12367
M047,16,64.0,3.0,23.0,23.0,24.0,10.0,1.0,10.0,10.0,10.0,28.15,1.65,16.365000000000002,15.55,17.25,,3.0,1.48,53.6,11.5,17.5,24.6,,38,26,0.68,12,0.32,0,0,38,100,0,18,0.47,0,0.0,1,0.03,3,0.08,14,0.37,1,0.03,1,0.03,38,100,3,0.08,35,0.92,0,0.0,0,0,38,100,14,0.37,24,0.63,0,0,38,100,89.28,21962
M283,27,308.0,10.0,33.6,31.0,38.0,10.0,1.0,10.0,10.0,10.0,103.82352941176471,3.9411764705882355,22.870588235294118,19.470588235294116,26.470588235294116,18.9,3.0,1.91,36.4,4.3,8.6,22.5,1.0,38,26,0.68,12,0.32,0,0,38,100,0,18,0.47,0,0.0,1,0.03,3,0.08,14,0.37,1,0.03,1,0.03,38,100,3,0.08,35,0.92,0,0.0,0,0,38,100,14,0.37,24,0.63,0,0,38,100,89.28,21962
M299,49,252.0,9.0,29.5,27.0,35.0,10.0,1.0,10.0,10.0,10.0,77.0952380952381,3.238095238095238,22.89047619047619,17.714285714285715,27.523809523809526,14.2,3.0,1.96,47.3,5.6,11.6,29.1,1.0,38,26,0.68,12,0.32,0,0,38,100,0,18,0.47,0,0.0,1,0.03,3,0.08,14,0.37,1,0.03,1,0.03,38,100,3,0.08,35,0.92,0,0.0,0,0,38,100,14,0.37,24,0.63,0,0,38,100,89.28,21962
M307,41,115.0,5.0,24.0,22.0,27.0,16.0,1.0,12.5,10.0,14.0,49.34615384615385,2.423076923076923,20.049999999999997,18.846153846153847,21.576923076923077,13.7,3.0,1.94,89.0,10.5,18.6,49.9,10.0,38,26,0.68,12,0.32,0,0,38,100,0,18,0.47,0,0.0,1,0.03,3,0.08,14,0.37,1,0.03,1,0.03,38,100,3,0.08,35,0.92,0,0.0,0,0,38,100,14,0.37,24,0.63,0,0,38,100,89.28,21962
